Id,Level,MonsterId,MoveType,Day,AppearTimer
137,1,0,3,1,2:40
138,1,0,2,1,2:40
139,1,0,3,1,2:40
140,1,2,2,1,2:40
141,1,0,1,1,3:20
142,1,0,2,1,3:20
143,1,0,3,1,3:20
144,1,0,2,1,3:20
145,1,0,3,1,3:20
146,1,0,1,1,3:20
147,1,0,3,1,3:20
148,1,2,2,1,3:20
149,1,2,3,1,3:20
150,1,2,0,1,3:20
151,1,0,2,1,4:00
152,1,0,0,1,4:00
153,1,0,1,1,4:00
154,1,0,1,1,4:00
155,1,2,1,1,4:00
156,1,2,0,1,4:00
157,1,2,1,1,4:00
158,1,3,0,1,4:00
159,1,0,3,1,4:00
160,1,0,0,1,4:00
161,1,0,1,1,4:00
162,1,0,3,1,4:00
163,1,0,2,1,4:00
164,1,0,2,1,4:00
165,1,2,1,1,4:00
166,1,2,0,1,4:00
167,1,2,2,1,4:00
168,1,3,1,1,4:00
169,1,0,1,1,6:10
170,1,0,0,1,6:10
171,1,0,3,1,6:10
172,1,0,3,1,6:10
173,1,0,1,1,6:10
174,1,0,2,1,6:10
175,1,0,1,1,6:10
176,1,0,3,1,6:10
177,1,0,0,1,6:10
178,1,0,3,1,6:10
179,1,2,3,1,6:10
180,1,2,0,1,6:10
181,1,2,2,1,6:10
182,1,2,2,1,6:10
183,1,2,3,1,6:10
184,1,2,2,1,6:10
185,1,3,2,1,6:10
186,1,3,2,1,6:10
187,1,0,2,1,6:10
188,1,0,0,1,6:10
189,1,0,1,1,6:10
190,1,0,2,1,6:10
191,1,0,0,1,6:10
192,1,0,1,1,6:10
193,1,0,3,1,6:10
194,1,0,0,1,6:10
195,1,0,0,1,6:10
196,1,0,3,1,6:10
197,1,2,3,1,6:10
198,1,2,1,1,6:10
199,1,2,2,1,6:10
200,1,2,0,1,6:10
201,1,6,0,1,7:10
202,1,6,0,1,7:10
203,1,7,3,1,7:10
204,1,0,0,1,8:00
205,1,0,0,1,8:00
206,1,0,0,1,8:00
207,1,2,3,1,8:00
208,1,5,0,1,8:00
209,1,6,1,1,8:00
210,2,7,2,1,8:00
211,1,5,2,1,8:00
212,1,5,2,1,8:00
213,1,6,0,1,8:00
214,1,6,1,1,8:00
215,2,7,0,1,8:00
216,1,0,0,1,8:00
217,1,0,1,1,8:00
218,1,5,0,1,8:00
219,1,5,2,1,8:00
220,1,0,2,1,8:00
221,1,2,1,1,8:00
222,2,7,3,1,8:00
223,1,0,0,1,9:40
224,1,0,0,1,9:40
225,1,0,1,1,9:40
226,1,5,0,1,9:40
227,1,6,2,1,9:40
228,1,0,2,1,9:40
229,1,0,1,1,9:40
230,1,0,3,1,9:40
231,1,5,2,1,9:40
232,1,0,1,1,9:40
233,1,0,1,1,9:40
234,1,0,0,1,9:40
235,1,0,3,1,9:40
236,1,0,3,1,9:40
237,1,0,2,1,9:40
238,1,0,1,1,9:40
239,1,2,1,1,9:40
240,1,3,0,1,9:40
241,1,0,3,1,9:40
242,1,0,3,2,0:00
243,1,0,1,2,0:00
244,1,0,3,2,0:00
245,1,0,2,2,0:00
246,1,0,0,2,0:30
247,1,0,1,2,0:30
248,1,0,3,2,0:30
249,1,0,2,2,1:00
250,1,0,1,2,1:00
251,1,0,3,2,1:00
252,1,2,0,2,1:00
253,1,2,2,2,1:30
254,1,0,3,2,1:30
255,1,0,1,2,1:30
256,1,0,0,2,2:00
257,1,0,1,2,2:00
258,1,0,1,2,2:00
259,1,0,1,2,2:00
260,1,0,0,2,2:00
261,1,0,2,2,2:00
262,1,0,1,2,2:20
263,1,2,3,2,2:20
264,1,2,2,2,2:20
265,1,2,0,2,2:20
266,1,0,0,2,2:20
267,1,0,1,2,2:20
268,1,0,2,2,1:00
269,1,0,1,2,1:00
270,1,0,2,2,1:00
271,1,0,0,2,1:00
272,1,0,3,2,2:00
273,1,0,1,2,2:00
274,1,0,3,2,2:00
275,1,0,3,2,2:00
276,1,0,0,2,2:00
277,1,0,2,2,2:00
278,1,0,2,2,2:00
279,1,0,1,2,2:00
280,1,0,1,2,2:00
281,1,0,1,2,2:00
282,1,2,3,2,2:00
283,1,2,1,2,2:00
284,1,2,3,2,2:00
285,1,2,3,2,2:00
286,1,2,2,2,2:00
287,1,2,1,2,2:00
288,1,2,3,2,2:00
289,1,2,2,2,2:00
290,1,0,2,2,2:00
291,1,0,0,2,2:00
292,1,0,0,2,2:00
293,1,0,3,2,2:00
294,1,0,1,2,2:00
295,1,0,0,2,2:40
296,1,0,0,2,2:40
297,1,0,2,2,2:40
298,1,0,0,2,2:40
299,1,0,0,2,2:40
300,1,0,0,2,2:40
301,1,2,3,2,2:40
302,1,2,3,2,2:40
303,1,2,1,2,2:40
304,1,0,2,2,2:40
305,1,0,3,2,2:40
306,1,0,2,2,3:20
307,1,0,2,2,3:20
308,1,0,3,2,3:20
309,1,0,1,2,3:20
310,1,0,0,2,3:20
311,1,0,2,2,3:20
312,1,2,1,2,3:20
313,1,2,0,2,3:20
314,1,2,0,2,3:20
315,1,0,3,2,3:20
316,1,0,1,2,3:20
317,1,0,2,2,3:20
318,1,0,1,2,3:20
319,1,0,2,2,3:20
320,1,2,1,2,3:20
321,1,2,3,2,3:20
322,1,2,2,2,3:20
323,1,0,1,2,4:00
324,1,0,2,2,4:00
325,1,0,3,2,4:00
326,1,0,1,2,4:00
327,1,0,0,2,4:00
328,1,2,0,2,4:00
329,1,2,1,2,4:00
330,1,2,3,2,4:00
331,1,3,1,2,4:00
332,1,0,1,2,4:00
333,1,0,0,2,4:00
334,1,0,2,2,4:00
335,1,0,1,2,4:00
336,1,0,1,2,4:00
337,1,2,3,2,4:00
338,1,2,1,2,4:00
339,1,2,0,2,4:00
340,1,3,1,2,4:00
341,1,0,2,2,4:00
342,1,0,1,2,4:00
343,1,0,0,2,4:00
344,1,0,1,2,4:00
345,1,0,3,2,4:00
346,1,2,3,2,4:00
347,1,2,0,2,4:00
348,1,2,0,2,4:00
349,1,0,1,2,6:10
350,1,0,1,2,6:10
351,1,0,0,2,6:10
352,1,0,1,2,6:10
353,1,0,1,2,6:10
354,1,0,3,2,6:10
355,1,0,2,2,6:10
356,1,0,2,2,6:10
357,1,0,3,2,6:10
358,1,0,0,2,6:10
359,1,0,3,2,6:10
360,1,0,1,2,6:10
361,1,0,3,2,6:10
362,1,0,2,2,6:10
363,1,0,0,2,6:10
364,1,2,3,2,6:10
365,1,2,3,2,6:10
366,1,2,2,2,6:10
367,1,2,3,2,6:10
368,1,2,1,2,6:10
369,1,3,3,2,6:10
370,1,3,3,2,6:10
371,1,0,0,2,6:10
372,1,0,0,2,6:10
373,1,0,1,2,6:10
374,1,0,2,2,6:10
375,1,0,2,2,6:10
376,1,0,2,2,6:10
377,1,0,3,2,6:10
378,1,0,0,2,6:10
379,1,0,2,2,6:10
380,1,0,2,2,6:10
381,1,0,0,2,6:10
382,1,0,0,2,6:10
383,1,0,0,2,6:10
384,1,0,1,2,6:10
385,1,2,2,2,6:10
386,1,2,1,2,6:10
387,1,2,1,2,6:10
388,1,2,2,2,6:10
389,1,2,3,2,6:10
390,1,2,1,2,6:10
391,1,2,1,2,6:10
392,1,2,2,2,6:10
393,1,2,0,2,6:10
394,1,2,1,2,6:10
395,1,2,1,2,6:10
396,1,2,0,2,6:10
397,1,0,2,2,6:10
398,2,7,2,2,7:10
399,2,7,2,2,7:10
400,2,6,1,2,7:10
401,2,6,0,2,8:00
402,2,7,0,2,8:00
403,1,0,0,2,8:00
404,1,0,3,2,8:00
405,1,5,0,2,8:00
406,1,5,1,2,8:00
407,1,0,2,2,8:00
408,1,4,2,2,8:00
409,1,5,2,2,8:00
410,2,6,1,2,8:00
411,1,2,0,2,8:00
412,1,0,0,2,8:00
413,1,0,0,2,8:00
414,1,0,0,2,8:00
415,1,2,3,2,8:00
416,1,5,0,2,8:00
417,2,6,1,2,8:00
418,2,7,2,2,8:00
419,1,5,2,2,8:00
420,1,5,2,2,8:00
421,2,6,0,2,8:00
422,1,0,1,2,8:00
423,1,0,0,2,9:40
424,1,0,0,2,9:40
425,1,0,1,2,9:40
426,1,5,0,2,9:40
427,2,6,2,2,9:40
428,1,0,2,2,9:40
429,1,0,1,2,9:40
430,1,0,3,2,9:40
431,1,5,2,2,9:40
432,1,0,1,2,9:40
433,1,0,1,2,9:40
434,1,0,0,2,9:40
435,1,0,3,2,9:40
